Type,Category,Locale,Series,Set,Id,Name,VariantCount,Variants,Rarities,Quantities,Prices,TotalQuantity
standard,Yaku marii wishlist,International,Sword & Shield,Sword & Shield,swsh1-130,Ferroseed,2,Normal | Reverse Holo,Common | Common,3 | 0,US$0.12 | US$0.49,3
standard,Yaku marii wishlist,International,Sword & Shield,Rebel Clash,swsh2-81,Sandygast,2,Normal | Reverse Holo,Common | Common,3 | 0,US$0.28 | US$0.60,3
standard,Yaku marii wishlist,International,Sword & Shield,Rebel Clash,swsh2-146,Bunnelby,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.28 | US$0.47,2
standard,Yaku marii wishlist,International,Sword & Shield,Darkness Ablaze,swsh3-14,Bounsweet,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.15 | US$0.47,1
standard,Yaku marii wishlist,International,Sword & Shield,Darkness Ablaze,swsh3-22,Torchic,2,Normal | Reverse Holo,Common | Common,3 | 0,US$0.21 | US$0.57,3
standard,Yaku marii wishlist,International,Sword & Shield,Champion's Path,swsh35-2,Weedle,2,Normal | Reverse Holo,Common | Common,0 | 1,US$0.29 | US$0.81,1
standard,Yaku marii wishlist,International,Sword & Shield,Vivid Voltage,swsh4-77,Dedenne,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.40 | US$0.64,2
standard,Yaku marii wishlist,International,Sword & Shield,Vivid Voltage,swsh4-91,Drilbur,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.22 | US$0.41,2
standard,Yaku marii wishlist,International,Sword & Shield,Vivid Voltage,swsh4-133,Taillow,2,Normal | Reverse Holo,Common | Common,3 | 1,US$0.17 | US$0.39,4
standard,Yaku marii wishlist,International,Sword & Shield,Battle Styles,swsh5-27,Salandit,2,Normal | Reverse Holo,Common | Common,2 | 0,US$0.22 | US$0.46,2
standard,Yaku marii wishlist,International,Sword & Shield,Battle Styles,swsh5-29,Sizzlipede,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.19 | US$0.55,1
standard,Yaku marii wishlist,International,Sword & Shield,Chilling Reign,swsh6-22,Castform Sunny Form,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.28 | US$0.51,2
standard,Yaku marii wishlist,International,Sword & Shield,Chilling Reign,swsh6-91,Clobbopus,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.26 | US$0.44,1
standard,Yaku marii wishlist,International,Sword & Shield,Evolving Skies,swsh7-68,Woobat,2,Normal | Reverse Holo,Common | Common,0 | 1,US$0.19 | US$0.38,1
standard,Yaku marii wishlist,International,Sword & Shield,Fusion Strike,swsh8-84,Snom,3,Normal | Reverse Holo | Holiday Calendar 2023,Common | Common | Common,0 | 1 | 0,US$0.30 | US$0.45 | US$2.33,1
standard,Yaku marii wishlist,International,Sword & Shield,Fusion Strike,swsh8-95,Tynamo,2,Normal | Reverse Holo,Common | Common,0 | 1,US$0.21 | US$0.37,1
standard,Yaku marii wishlist,International,Sword & Shield,Fusion Strike,swsh8-131,Sandshrew,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.30 | US$0.60,1
standard,Yaku marii wishlist,International,Sword & Shield,Brilliant Stars,swsh9-10,Wormadam (Plant Cloak),3,Normal | Reverse Holo | Play! Pokémon,Rare | Rare | Rare,2 | 0 | 0,US$0.37 | US$0.36 | —,2
standard,Yaku marii wishlist,International,Sword & Shield,Brilliant Stars,swsh9-30,Staryu,2,Normal | Reverse Holo,Common | Common,2 | 1,US$0.18 | US$0.38,3
standard,Yaku marii wishlist,Japanese,Sword & Shield,Dark Phantasma,jpn_s10a-34,Machop,2,Normal | Poké Ball Holo,Common | Common,1 | 0,US$0.52 | —,1
standard,Yaku marii wishlist,International,Sword & Shield,Astral Radiance,swsh10-109,Shieldon,2,Normal | Reverse Holo,Uncommon | Uncommon,3 | 1,US$0.24 | US$0.35,4
standard,Yaku marii wishlist,International,Sword & Shield,Pokémon GO,pgo-6,Spinarak,3,Normal | Reverse Holo | Unpeeled Ditto,Common | Common | Common,2 | 0 | 0,US$0.18 | US$0.54 | US$16.04,2
standard,Yaku marii wishlist,International,Sword & Shield,Lost Origin,swsh11-11,Seedot,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.13 | US$0.61,2
standard,Yaku marii wishlist,International,Sword & Shield,Lost Origin,swsh11-24,Litwick,3,Normal | Reverse Holo | Trick or Trade 2023,Common | Common | Common,1 | 1 | 1,US$0.18 | US$0.44 | —,3
standard,Yaku marii wishlist,International,Sword & Shield,Lost Origin,swsh11-46,Ducklett,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.17 | US$0.41,2
standard,Yaku marii wishlist,International,Sword & Shield,Lost Origin,swsh11-114,Murkrow,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.18 | US$0.65,1
standard,Yaku marii wishlist,International,Sword & Shield,Silver Tempest,swsh12-93,Baltoy,2,Normal | Reverse Holo,Common | Common,2 | 1,US$0.10 | US$0.30,3
standard,Yaku marii wishlist,Japanese,Sword & Shield,VSTAR Universe,jpn_s12a-061,Pumpkaboo,2,Normal | Reverse Holo,No Rarity | No Rarity,0 | 1,— | —,1
standard,Yaku marii wishlist,International,Sword & Shield,Crown Zenith,swsh12pt5-92,Pawniard,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.17 | US$0.48,1
standard,Yaku marii wishlist,International,Sword & Shield,Crown Zenith: Galarian Gallery,swsh12pt5gg-GG49,Drapion V,1,Holo,Trainer Gallery Ultra Rare,1,US$12.18,1
standard,Yaku marii wishlist,International,Scarlet & Violet,Scarlet & Violet,sv1-121,Stonjourner,2,Normal | Reverse Holo,Uncommon | Uncommon,0 | 1,US$0.08 | US$0.18,1
standard,Yaku marii wishlist,International,Scarlet & Violet,Scarlet & Violet,sv1-148,Starly,2,Normal | Reverse Holo,Common | Common,2 | 1,US$0.06 | US$0.12,3
standard,Yaku marii wishlist,International,Scarlet & Violet,Paldea Evolved,sv2-72,Pincurchin,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.17 | US$0.30,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Obsidian Flames,sv3-40,Larvesta,3,Normal | Reverse Holo | Battle Academy 2024: Armarouge Deck,Common | Common | Common,0 | 2 | 0,US$0.13 | US$0.25 | —,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Obsidian Flames,sv3-81,Clefairy,2,Normal | Reverse Holo,Common | Common,0 | 1,US$0.27 | US$0.42,1
standard,Yaku marii wishlist,International,Scarlet & Violet,Obsidian Flames,sv3-97,Sinistea,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.30 | US$0.31,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Obsidian Flames,sv3-170,Lillipup,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.18 | US$0.25,2
standard,Yaku marii wishlist,International,Scarlet & Violet,151,sv35-81,Magnemite,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.11 | US$0.37,2
standard,Yaku marii wishlist,International,Scarlet & Violet,151,sv35-82,Magneton,2,Normal | Reverse Holo,Uncommon | Uncommon,1 | 1,US$0.21 | US$0.33,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Paradox Rift,sv4-34,Octillery,2,Normal | Reverse Holo,Common | Common,0 | 1,US$0.16 | US$0.26,1
standard,Yaku marii wishlist,International,Scarlet & Violet,Paradox Rift,sv4-69,Toxel,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.15 | US$0.23,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Paradox Rift,sv4-211,Aipom,1,Holo,Illustration Rare,1,US$31.56,1
standard,Yaku marii wishlist,International,Scarlet & Violet,Temporal Forces,sv5-136,Minccino,2,Normal | Reverse Holo,Common | Common,2 | 0,US$0.26 | US$0.28,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Twilight Masquerade,sv6-56,Froakie,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.23 | US$0.31,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Stellar Crown,sv7-43,Chewtle,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.24 | US$0.30,1
standard,Yaku marii wishlist,International,Scarlet & Violet,Stellar Crown,sv7-102,Meltan,3,Normal | Reverse Holo | Expansion Stamp,Common | Common | Common,1 | 1 | 0,US$0.26 | US$0.32 | —,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Surging Sparks,sv8-138,Applin,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.16 | US$0.28,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Journey Together,sv9-9,Karrablast,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.18 | US$0.33,2
standard,Yaku marii wishlist,International,Scarlet & Violet,Destined Rivals,sv10-21,Smoliv,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.22 | US$0.30,2
standard,Yaku marii wishlist,International,Scarlet & Violet,White Flare,sv105w-70,Durant,4,Normal | Reverse Holo | Poké Ball Holo | Master Ball Holo,Uncommon | Uncommon | Uncommon | Uncommon,2 | 1 | 1 | 0,US$0.18 | US$0.26 | US$0.48 | US$21.81,4
standard,Yaku marii wishlist,International,Scarlet & Violet,Black Bolt,sv105b-141,Klinklang,1,Holo,Illustration Rare,1,US$33.41,1
standard,Yaku marii wishlist,Japanese,MEGA,Mega Symphonia,jpn_m1s-34,Helioptile,1,Normal,Common,1,US$0.13,1
standard,Yaku marii wishlist,International,Mega Evolution,Phantasmal Flames,me2-9,Nymble,2,Normal | Reverse Holo,Common | Common,1 | 1,US$0.10 | US$0.22,2
standard,Yaku marii wishlist,International,Mega Evolution,Pitch Black,me5-42,Mankey,2,Normal | Reverse Holo,Common | Common,1 | 0,US$0.35 | US$0.54,1
